platform,title,release_time,developer,publisher,price,description,genres
steam,Necromunda: Hired Gun,"1 Jun, 2021",Streum On Studio,null,125.8,"Become a Hired Gun. The money’s good, the dog’s loyal, and the gun’s reliable. Embark on a fast-paced, violent, and thrilling FPS set in the darkest reaches of Warhammer 40,000’s most infamous hive city.","[{""genres"":""Action""},{""genres"":""Adventure""},{""genres"":""Warhammer 40K""},{""genres"":""Shooter""},{""genres"":""First-Person""},{""genres"":""Action-Adventure""},{""genres"":""Violent""},{""genres"":""Gore""},{""genres"":""FPS""},{""genres"":""Singleplayer""},{""genres"":""Combat""},{""genres"":""Games Workshop""},{""genres"":""Dog""}]"
steam,Monster Hunter: World,"9 Aug, 2018","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",133.0,"Welcome to a new world! In Monster Hunter: World, the latest installment in the series, you can enjoy the ultimate hunting experience, using everything at your disposal to hunt monsters in a new world teeming with surprises and excitement.","[{""genres"":""Co-op""},{""genres"":""Multiplayer""},{""genres"":""Action""},{""genres"":""Open World""},{""genres"":""RPG""},{""genres"":""Third Person""},{""genres"":""Character Customization""},{""genres"":""Adventure""},{""genres"":""Fantasy""},{""genres"":""Difficult""},{""genres"":""Singleplayer""},{""genres"":""Action RPG""},{""genres"":""Exploration""},{""genres"":""Great Soundtrack""},{""genres"":""Replay Value""},{""genres"":""Atmospheric""},{""genres"":""Hack and Slash""},{""genres"":""JRPG""},{""genres"":""Souls-like""},{""genres"":""MMORPG""}]"
steam,STAR WARS?: Squadrons,"1 Oct, 2020",MOTIVE,Electronic Arts,79.0,"Master the art of starfighter combat in the authentic piloting experience STAR WARS™: Squadrons. Feel the adrenaline of first-person multiplayer space dogfights alongside your squadron, and buckle up in a thrilling STAR WARS™ story.","[{""genres"":""Flight""},{""genres"":""Space""},{""genres"":""Multiplayer""},{""genres"":""VR""},{""genres"":""Sci-fi""},{""genres"":""Singleplayer""},{""genres"":""Action""},{""genres"":""Simulation""},{""genres"":""First-Person""},{""genres"":""PvP""},{""genres"":""Online Co-Op""},{""genres"":""Spaceships""},{""genres"":""Co-op""},{""genres"":""Shooter""},{""genres"":""Controller""},{""genres"":""Space Sim""},{""genres"":""Adventure""},{""genres"":""Female Protagonist""},{""genres"":""Strategy""},{""genres"":""Open World""}]"
steam,Valheim,"2 Feb, 2021",Iron Gate AB,Coffee Stain Publishing,70.0,"A brutal exploration and survival game for 1-10 players, set in a procedurally-generated purgatory inspired by viking culture. Battle, build, and conquer your way to a saga worthy of Odin’s patronage!","[{""genres"":""Open World Survival Craft""},{""genres"":""Survival""},{""genres"":""Online Co-Op""},{""genres"":""Open World""},{""genres"":""Crafting""},{""genres"":""Building""},{""genres"":""Exploration""},{""genres"":""Multiplayer""},{""genres"":""Co-op""},{""genres"":""Base Building""},{""genres"":""Mythology""},{""genres"":""Sandbox""},{""genres"":""Adventure""},{""genres"":""Sailing""},{""genres"":""RPG""},{""genres"":""Early Access""},{""genres"":""Action""},{""genres"":""Indie""},{""genres"":""PvP""},{""genres"":""Fishing""}]"
steam,Warhammer Age of Sigmar: Storm Ground,"26 May, 2021",Gasket Games,null,125.8,"Conquer the Mortal Realms! The first strategy videogame adaptation of Age of Sigmar’s dark-fantasy universe. Lead your highly-customisable force in challenging roguelike campaigns, unlocking new units, equipment and skills in dynamic, turn-based warfare.","[{""genres"":""Strategy""},{""genres"":""Turn-Based Strategy""},{""genres"":""Fantasy""},{""genres"":""Turn-Based Tactics""},{""genres"":""Top-Down""},{""genres"":""PvP""},{""genres"":""Games Workshop""},{""genres"":""Multiplayer""},{""genres"":""Singleplayer""},{""genres"":""Roguelite""},{""genres"":""Roguelike""},{""genres"":""Warhammer 40K""}]"
steam,BeamNG.drive,"29 May, 2015",BeamNG,BeamNG,64.0,A dynamic soft-body physics vehicle simulator capable of doing just about anything.,"[{""genres"":""Simulation""},{""genres"":""Driving""},{""genres"":""Destruction""},{""genres"":""Physics""},{""genres"":""Automobile Sim""},{""genres"":""Realistic""},{""genres"":""Open World""},{""genres"":""Racing""},{""genres"":""Sandbox""},{""genres"":""Moddable""},{""genres"":""Singleplayer""},{""genres"":""Early Access""},{""genres"":""Exploration""},{""genres"":""First-Person""},{""genres"":""Funny""},{""genres"":""Third Person""},{""genres"":""Action""},{""genres"":""Adventure""},{""genres"":""Flight""},{""genres"":""Arcade""}]"
steam,Grand Theft Auto IV: The Complete Edition,"24 Mar, 2020",Rockstar North,Rockstar Games,29.0,"Niko Bellic, Johnny Klebitz and Luis Lopez all have one thing in common - they live in the worst city in America. Liberty City worships money and status, and is heaven for those who have them and a living nightmare for those who don't.","[{""genres"":""Open World""},{""genres"":""Action""},{""genres"":""Automobile Sim""},{""genres"":""Multiplayer""},{""genres"":""Third Person""},{""genres"":""Crime""},{""genres"":""Adventure""},{""genres"":""Singleplayer""},{""genres"":""Third-Person Shooter""},{""genres"":""Sandbox""},{""genres"":""Moddable""},{""genres"":""Shooter""},{""genres"":""Physics""},{""genres"":""Atmospheric""},{""genres"":""Funny""},{""genres"":""Classic""},{""genres"":""Dark Humor""},{""genres"":""Gore""},{""genres"":""Co-op""},{""genres"":""Satire""}]"
steam,It Takes Two,"25 Mar, 2021",Hazelight,Electronic Arts,0.0,Embark on the craziest journey of your life in It Takes Two. Invite a friend to join for free with Friend’s Pass and work together across a huge variety of gleefully disruptive gameplay challenges.,"[{""genres"":""Co-op""},{""genres"":""Adventure""},{""genres"":""Split Screen""},{""genres"":""Puzzle""},{""genres"":""Puzzle Platformer""},{""genres"":""3D Platformer""},{""genres"":""Platformer""},{""genres"":""Story Rich""},{""genres"":""Action-Adventure""},{""genres"":""Local Co-Op""},{""genres"":""Female Protagonist""},{""genres"":""Action""},{""genres"":""Multiplayer""},{""genres"":""Co-op Campaign""},{""genres"":""Atmospheric""},{""genres"":""Local Multiplayer""},{""genres"":""Emotional""},{""genres"":""Online Co-Op""},{""genres"":""Exploration""},{""genres"":""Minigames""}]"
steam,7 Days to Die,"13 Dec, 2013",The Fun Pimps,The Fun Pimps Entertainment LLC,23.0,"7 Days to Die is an open-world game that is a unique combination of first person shooter, survival horror, tower defense, and role-playing games. Play the definitive zombie survival sandbox RPG that came first. Navezgane awaits!","[{""genres"":""Early Access""},{""genres"":""Survival""},{""genres"":""Voxel""},{""genres"":""Zombies""},{""genres"":""Post-apocalyptic""},{""genres"":""Open World""},{""genres"":""Open World Survival Craft""},{""genres"":""Simulation""},{""genres"":""Exploration""},{""genres"":""Base Building""},{""genres"":""Strategy""},{""genres"":""Multiplayer""},{""genres"":""Procedural Generation""},{""genres"":""Tower Defense""},{""genres"":""Character Customization""},{""genres"":""Online Co-Op""},{""genres"":""Sandbox""},{""genres"":""Building""},{""genres"":""FPS""},{""genres"":""Action""}]"
steam,Solasta: Crown of the Magister,"27 May, 2021",Tactical Adventures,Tactical Adventures,103.0,"Roll for initiative, take attacks of opportunity, manage player location and the verticality of the battle field in this upcoming Turn-Based Tactical RPG based on the SRD 5.1 Ruleset. In Solasta, you make the choices, dice decide your destiny.","[{""genres"":""RPG""},{""genres"":""Dungeons & Dragons""},{""genres"":""Choices Matter""},{""genres"":""Early Access""},{""genres"":""Tactical""},{""genres"":""Character Customization""},{""genres"":""Fantasy""},{""genres"":""Party-Based RPG""},{""genres"":""CRPG""},{""genres"":""Tactical RPG""},{""genres"":""Story Rich""},{""genres"":""Turn-Based Tactics""},{""genres"":""Top-Down""},{""genres"":""3D""},{""genres"":""Dragons""},{""genres"":""Singleplayer""},{""genres"":""Team-Based""},{""genres"":""Strategy""},{""genres"":""Turn-Based Strategy""},{""genres"":""Turn-Based Combat""},{""genres"":""RPG""},{""genres"":""Singleplayer""},{""genres"":""Story Rich""},{""genres"":""Strategy""}]"
steam,theHunter: Call of the Wild?,"16 Feb, 2017",Expansive Worlds,Expansive Worlds,21.0,"Experience an atmospheric hunting game like no other in this realistic and visually breathtaking open world. Immerse yourself in the atmospheric single player campaign, or share the ultimate hunting experience with friends.","[{""genres"":""Hunting""},{""genres"":""Open World""},{""genres"":""Multiplayer""},{""genres"":""Simulation""},{""genres"":""First-Person""},{""genres"":""Shooter""},{""genres"":""Adventure""},{""genres"":""Realistic""},{""genres"":""Survival""},{""genres"":""Co-op""},{""genres"":""FPS""},{""genres"":""Action""},{""genres"":""Singleplayer""},{""genres"":""Walking Simulator""},{""genres"":""Atmospheric""},{""genres"":""Online Co-Op""},{""genres"":""Sports""},{""genres"":""Combat""},{""genres"":""Strategy""},{""genres"":""Gore""}]"
steam,Phasmophobia,"18 Sep, 2020",Kinetic Games,Kinetic Games,47.0,Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it’s up to you and your team to use all the ghost hunting equipment at your disposal in order to gather as much evidence as you can.,"[{""genres"":""Horror""},{""genres"":""Online Co-Op""},{""genres"":""Multiplayer""},{""genres"":""Psychological Horror""},{""genres"":""Co-op""},{""genres"":""Supernatural""},{""genres"":""VR""},{""genres"":""First-Person""},{""genres"":""Investigation""},{""genres"":""Dark""},{""genres"":""Mystery""},{""genres"":""Detective""},{""genres"":""Demons""},{""genres"":""Early Access""},{""genres"":""Thriller""},{""genres"":""Indie""},{""genres"":""3D""},{""genres"":""Action""},{""genres"":""Tactical""},{""genres"":""Lovecraftian""}]"
steam,Subnautica: Below Zero,"13 May, 2021",Unknown Worlds Entertainment,Unknown Worlds Entertainment,99.0,"Dive into a freezing underwater adventure on an alien planet. Below Zero is set two years after the original Subnautica. Return to Planet 4546B to uncover the truth behind a deadly cover-up. Survive by building habitats, crafting tools, & diving deeper into the world of Subnautica.","[{""genres"":""Open World Survival Craft""},{""genres"":""Survival""},{""genres"":""Underwater""},{""genres"":""Open World""},{""genres"":""Singleplayer""},{""genres"":""Exploration""},{""genres"":""Adventure""},{""genres"":""Base Building""},{""genres"":""Horror""},{""genres"":""Crafting""},{""genres"":""First-Person""},{""genres"":""Early Access""},{""genres"":""Aliens""},{""genres"":""Survival Horror""},{""genres"":""Sci-fi""},{""genres"":""Atmospheric""},{""genres"":""Story Rich""},{""genres"":""Sandbox""},{""genres"":""Great Soundtrack""},{""genres"":""Multiplayer""}]"
steam,The Forest,"30 Apr, 2018",Endnight Games Ltd,Endnight Games Ltd,31.0,"As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. Build, explore, survive in this terrifying first person survival horror simulator.","[{""genres"":""Open World Survival Craft""},{""genres"":""Survival""},{""genres"":""Open World""},{""genres"":""Horror""},{""genres"":""Crafting""},{""genres"":""Adventure""},{""genres"":""Building""},{""genres"":""Survival Horror""},{""genres"":""First-Person""},{""genres"":""Action""},{""genres"":""Exploration""},{""genres"":""Sandbox""},{""genres"":""Atmospheric""},{""genres"":""Simulation""},{""genres"":""Singleplayer""},{""genres"":""Indie""},{""genres"":""Realistic""},{""genres"":""Gore""},{""genres"":""Early Access""},{""genres"":""Zombies""}]"
steam,Noita,"15 Oct, 2020",Nolla Games,Nolla Games,49.0,"Noita is a magical action roguelite set in a world where every pixel is physically simulated. Fight, explore, melt, burn, freeze and evaporate your way through the procedurally generated world using spells you've created yourself.","[{""genres"":""Difficult""},{""genres"":""Roguelike""},{""genres"":""Dungeon Crawler""},{""genres"":""Physics""},{""genres"":""Action""},{""genres"":""Indie""},{""genres"":""RPG""},{""genres"":""Action Roguelike""},{""genres"":""Open World""},{""genres"":""Roguelite""},{""genres"":""Perma Death""},{""genres"":""Sandbox""},{""genres"":""2D""},{""genres"":""2D Platformer""},{""genres"":""Action-Adventure""},{""genres"":""Gun Customization""},{""genres"":""Dark Humor""},{""genres"":""Mythology""},{""genres"":""Crafting""},{""genres"":""Pixel Graphics""}]"
steam,Cyberpunk 2077,"9 Dec, 2020",CD PROJEKT RED,CD PROJEKT RED,238.0,"Cyberpunk 2077 is an open-world, action-adventure story set in Night City, a megalopolis obsessed with power, glamour and body modification. You play as V, a mercenary outlaw going after a one-of-a-kind implant that is the key to immortality.","[{""genres"":""Cyberpunk""},{""genres"":""Open World""},{""genres"":""RPG""},{""genres"":""Sci-fi""},{""genres"":""Futuristic""},{""genres"":""Singleplayer""},{""genres"":""FPS""},{""genres"":""First-Person""},{""genres"":""Atmospheric""},{""genres"":""Nudity""},{""genres"":""Exploration""},{""genres"":""Story Rich""},{""genres"":""Mature""},{""genres"":""Action""},{""genres"":""Violent""},{""genres"":""Great Soundtrack""},{""genres"":""Action RPG""},{""genres"":""Adventure""},{""genres"":""Immersive Sim""},{""genres"":""Character Customization""}]"
steam,SCUM,"29 Aug, 2018",Gamepires,Gamepires,77.4,"SCUM aims to evolve the multiplayer open world survival game with unprecedented levels of character customization, control and progression, where knowledge and skills are the ultimate weapons for long-term survival.","[{""genres"":""Survival""},{""genres"":""Open World Survival Craft""},{""genres"":""Multiplayer""},{""genres"":""Open World""},{""genres"":""Zombies""},{""genres"":""Massively Multiplayer""},{""genres"":""Action""},{""genres"":""Early Access""},{""genres"":""Adventure""},{""genres"":""Crafting""},{""genres"":""Realistic""},{""genres"":""Nudity""},{""genres"":""Violent""},{""genres"":""FPS""},{""genres"":""Singleplayer""},{""genres"":""Indie""},{""genres"":""PvP""},{""genres"":""Third Person""},{""genres"":""Gore""},{""genres"":""RPG""}]"
steam,Assassin's Creed? Odyssey,"5 Oct, 2018",Ubisoft Quebec,Ubisoft,74.0,"Choose your fate in Assassin's Creed® Odyssey. From outcast to living legend, embark on an odyssey to uncover the secrets of your past and change the fate of Ancient Greece.","[{""genres"":""Open World""},{""genres"":""RPG""},{""genres"":""Assassin""},{""genres"":""Singleplayer""},{""genres"":""Action""},{""genres"":""Adventure""},{""genres"":""Historical""},{""genres"":""Stealth""},{""genres"":""Story Rich""},{""genres"":""Female Protagonist""},{""genres"":""Parkour""},{""genres"":""Third Person""},{""genres"":""Sexual Content""},{""genres"":""Choices Matter""},{""genres"":""Violent""},{""genres"":""Multiplayer""},{""genres"":""Atmospheric""},{""genres"":""Nudity""},{""genres"":""Great Soundtrack""},{""genres"":""Gore""}]"
steam,Rust,"8 Feb, 2018",Facepunch Studios,Facepunch Studios,77.0,"The only aim in Rust is to survive - Overcome struggles such as hunger, thirst and cold. Build a fire. Build a shelter. Kill animals. Protect yourself from other players.","[{""genres"":""Survival""},{""genres"":""Crafting""},{""genres"":""Multiplayer""},{""genres"":""Open World""},{""genres"":""Open World Survival Craft""},{""genres"":""Building""},{""genres"":""Sandbox""},{""genres"":""PvP""},{""genres"":""Adventure""},{""genres"":""First-Person""},{""genres"":""Action""},{""genres"":""FPS""},{""genres"":""Nudity""},{""genres"":""Co-op""},{""genres"":""Shooter""},{""genres"":""Online Co-Op""},{""genres"":""Indie""},{""genres"":""Early Access""},{""genres"":""Post-apocalyptic""},{""genres"":""Simulation""}]"
steam,Forza Horizon 4,"9 Mar, 2021",Playground Games,Xbox Game Studios,188.0,Dynamic seasons change everything at the world’s greatest automotive festival. Go it alone or team up with others to explore beautiful and historic Britain in a shared open world.,"[{""genres"":""Racing""},{""genres"":""Open World""},{""genres"":""Driving""},{""genres"":""Multiplayer""},{""genres"":""Online Co-Op""},{""genres"":""Singleplayer""},{""genres"":""Automobile Sim""},{""genres"":""Adventure""},{""genres"":""Realistic""},{""genres"":""PvP""},{""genres"":""Action""},{""genres"":""Arcade""},{""genres"":""Exploration""},{""genres"":""Simulation""},{""genres"":""Sports""},{""genres"":""Atmospheric""},{""genres"":""First-Person""},{""genres"":""Great Soundtrack""},{""genres"":""Funny""},{""genres"":""Controller""}]"
steam,Oxygen Not Included,"30 Jul, 2019",Klei Entertainment,Klei Entertainment,23.0,"Oxygen Not Included is a space-colony simulation game. Deep inside an alien space rock your industrious crew will need to master science, overcome strange new lifeforms, and harness incredible space tech to survive, and possibly, thrive.","[{""genres"":""Colony Sim""},{""genres"":""Base Building""},{""genres"":""Survival""},{""genres"":""Resource Management""},{""genres"":""Building""},{""genres"":""Singleplayer""},{""genres"":""Simulation""},{""genres"":""Management""},{""genres"":""2D""},{""genres"":""Sandbox""},{""genres"":""Strategy""},{""genres"":""Space""},{""genres"":""Indie""},{""genres"":""Sci-fi""},{""genres"":""Exploration""},{""genres"":""Open World""},{""genres"":""Difficult""},{""genres"":""Early Access""},{""genres"":""Adventure""},{""genres"":""Space Sim""}]"
steam,Monster Hunter World: Iceborne,"9 Jan, 2020","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",168.0,unknown,"[{""genres"":""Action""},{""genres"":""Multiplayer""},{""genres"":""Open World""},{""genres"":""Co-op""},{""genres"":""Hunting""},{""genres"":""Difficult""},{""genres"":""Third Person""},{""genres"":""Singleplayer""},{""genres"":""Online Co-Op""},{""genres"":""Adventure""},{""genres"":""Character Customization""},{""genres"":""RPG""},{""genres"":""Exploration""},{""genres"":""Dragons""},{""genres"":""Hack and Slash""},{""genres"":""JRPG""},{""genres"":""Story Rich""},{""genres"":""Souls-like""},{""genres"":""MMORPG""},{""genres"":""PvE""}]"
steam,Stardew Valley,"26 Feb, 2016",ConcernedApe,ConcernedApe,48.0,"You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?","[{""genres"":""Farming Sim""},{""genres"":""Life Sim""},{""genres"":""RPG""},{""genres"":""Pixel Graphics""},{""genres"":""Agriculture""},{""genres"":""Simulation""},{""genres"":""Multiplayer""},{""genres"":""Relaxing""},{""genres"":""Crafting""},{""genres"":""Sandbox""},{""genres"":""Indie""},{""genres"":""Building""},{""genres"":""Singleplayer""},{""genres"":""Casual""},{""genres"":""Open World""},{""genres"":""2D""},{""genres"":""Great Soundtrack""},{""genres"":""Cute""},{""genres"":""Dating Sim""},{""genres"":""Fishing""}]"
steam,Terraria,"16 May, 2011",Re-Logic,Re-Logic,18.0,"Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!","[{""genres"":""Open World Survival Craft""},{""genres"":""Sandbox""},{""genres"":""Survival""},{""genres"":""2D""},{""genres"":""Multiplayer""},{""genres"":""Adventure""},{""genres"":""Crafting""},{""genres"":""Building""},{""genres"":""Pixel Graphics""},{""genres"":""Exploration""},{""genres"":""Co-op""},{""genres"":""Open World""},{""genres"":""Indie""},{""genres"":""Online Co-Op""},{""genres"":""Action""},{""genres"":""RPG""},{""genres"":""Singleplayer""},{""genres"":""Replay Value""},{""genres"":""Platformer""},{""genres"":""Atmospheric""}]"
steam,Mass Effect? Legendary Edition,"14 May, 2021",BioWare,null,248.0,"The Mass Effect™ Legendary Edition includes single-player base content and over 40 DLC from the highly acclaimed Mass Effect, Mass Effect 2, and Mass Effect 3 games, including promo weapons, armors, and packs — remastered and optimized for 4K Ultra HD.","[{""genres"":""RPG""},{""genres"":""Story Rich""},{""genres"":""Action""},{""genres"":""Sci-fi""},{""genres"":""Choices Matter""},{""genres"":""Action RPG""},{""genres"":""Third-Person Shooter""},{""genres"":""Singleplayer""},{""genres"":""Space""},{""genres"":""Shooter""},{""genres"":""Great Soundtrack""},{""genres"":""Tactical RPG""},{""genres"":""Military""},{""genres"":""Sexual Content""},{""genres"":""Character Customization""},{""genres"":""Combat""},{""genres"":""Atmospheric""},{""genres"":""Classic""},{""genres"":""Nudity""},{""genres"":""Female Protagonist""}]"
steam,No Man's Sky,"12 Aug, 2016",Hello Games,Hello Games,69.0,No Man's Sky is a game about exploration and survival in an infinite procedurally generated universe.,"[{""genres"":""Open World""},{""genres"":""Open World Survival Craft""},{""genres"":""Space""},{""genres"":""Exploration""},{""genres"":""Sci-fi""},{""genres"":""Survival""},{""genres"":""Procedural Generation""},{""genres"":""Adventure""},{""genres"":""First-Person""},{""genres"":""Singleplayer""},{""genres"":""Sandbox""},{""genres"":""Atmospheric""},{""genres"":""Crafting""},{""genres"":""Multiplayer""},{""genres"":""Space Sim""},{""genres"":""Indie""},{""genres"":""Action""},{""genres"":""Simulation""},{""genres"":""FPS""},{""genres"":""Great Soundtrack""}]"
steam,Satisfactory,"8 Jun, 2020",Coffee Stain Studios,Coffee Stain Publishing,79.0,"Satisfactory is a first-person open-world factory building game with a dash of exploration and combat. Play alone or with friends, explore an alien planet, create multi-story factories, and enter conveyor belt heaven!","[{""genres"":""Base Building""},{""genres"":""Open World""},{""genres"":""Automation""},{""genres"":""Multiplayer""},{""genres"":""Crafting""},{""genres"":""Co-op""},{""genres"":""Resource Management""},{""genres"":""Building""},{""genres"":""Sandbox""},{""genres"":""Exploration""},{""genres"":""Adventure""},{""genres"":""Simulation""},{""genres"":""Strategy""},{""genres"":""Early Access""},{""genres"":""Indie""},{""genres"":""Open World Survival Craft""},{""genres"":""Survival""},{""genres"":""First-Person""},{""genres"":""Singleplayer""},{""genres"":""Sci-fi""}]"
steam,Fall Guys: Ultimate Knockout,"4 Aug, 2020",Mediatonic,null,58.0,Fall Guys is a massively multiplayer party game with up to 60 players online in a free-for-all struggle through round after round of escalating chaos until one victor remains!,"[{""genres"":""Multiplayer""},{""genres"":""Funny""},{""genres"":""Battle Royale""},{""genres"":""Online Co-Op""},{""genres"":""Family Friendly""},{""genres"":""Party Game""},{""genres"":""Comedy""},{""genres"":""Cute""},{""genres"":""Casual""},{""genres"":""Physics""},{""genres"":""Massively Multiplayer""},{""genres"":""Colorful""},{""genres"":""3D Platformer""},{""genres"":""Indie""},{""genres"":""Co-op""},{""genres"":""Action""},{""genres"":""Controller""},{""genres"":""Great Soundtrack""},{""genres"":""Difficult""},{""genres"":""Local Co-Op""}]"
steam,Need for Speed? Heat,"8 Nov, 2019",Ghost Games,Electronic Arts,57.0,"Hustle by day and risk it all at night in Need for Speed™ Heat Deluxe Edition, a white-knuckle street racer, where the lines of the law fade as the sun starts to set.","[{""genres"":""Racing""},{""genres"":""Open World""},{""genres"":""Multiplayer""},{""genres"":""Driving""},{""genres"":""Action""},{""genres"":""Adventure""},{""genres"":""Singleplayer""},{""genres"":""Co-op""},{""genres"":""Atmospheric""},{""genres"":""Combat Racing""},{""genres"":""Third Person""},{""genres"":""Sports""},{""genres"":""Arcade""},{""genres"":""First-Person""},{""genres"":""Online Co-Op""},{""genres"":""PvP""},{""genres"":""Split Screen""},{""genres"":""Character Customization""},{""genres"":""Destruction""},{""genres"":""Sexual Content""}]"
steam,Far Cry? 5,"26 Mar, 2018",Ubisoft Montreal,Ubisoft,44.0,"Welcome to Hope County, Montana, home to a fanatical doomsday cult known as Eden’s Gate. Stand up to cult leader Joseph Seed & his siblings, the Heralds, to spark the fires of resistance & liberate the besieged community.","[{""genres"":""Open World""},{""genres"":""Co-op""},{""genres"":""Action""},{""genres"":""FPS""},{""genres"":""Multiplayer""},{""genres"":""Adventure""},{""genres"":""Shooter""},{""genres"":""Singleplayer""},{""genres"":""First-Person""},{""genres"":""Survival""},{""genres"":""Story Rich""},{""genres"":""Stealth""},{""genres"":""America""},{""genres"":""Hunting""},{""genres"":""Exploration""},{""genres"":""Atmospheric""},{""genres"":""Character Customization""},{""genres"":""Great Soundtrack""},{""genres"":""Sexual Content""},{""genres"":""Nudity""}]"
steam,Raft,"23 May, 2018",Redbeet Interactive,Axolot Games,45.0,"Raft throws you and your friends into an epic oceanic adventure! Alone or together, players battle to survive a perilous voyage across a vast sea! Gather debris, scavenge reefs and build your own floating home, but be wary of the man-eating sharks!","[{""genres"":""Survival""},{""genres"":""Open World Survival Craft""},{""genres"":""Multiplayer""},{""genres"":""Co-op""},{""genres"":""Crafting""},{""genres"":""Open World""},{""genres"":""Building""},{""genres"":""Base Building""},{""genres"":""Adventure""},{""genres"":""Online Co-Op""},{""genres"":""Sandbox""},{""genres"":""Early Access""},{""genres"":""First-Person""},{""genres"":""Singleplayer""},{""genres"":""Underwater""},{""genres"":""Simulation""},{""genres"":""Action""},{""genres"":""Indie""},{""genres"":""Strategy""},{""genres"":""Massively Multiplayer""}]"
steam,Maneater,"25 May, 2021",Tripwire Interactive,null,98.0,"Experience the ultimate power fantasy as the apex predator of the seas - a giant Shark! Terrorize the coastal waterways. Tear swimmers and divers limb from limb, give the humans a reason to fear you!","[{""genres"":""Dark Humor""},{""genres"":""Nature""},{""genres"":""Underwater""},{""genres"":""Open World""},{""genres"":""Action RPG""},{""genres"":""Singleplayer""},{""genres"":""Exploration""},{""genres"":""Narration""},{""genres"":""Third Person""},{""genres"":""Violent""},{""genres"":""Female Protagonist""},{""genres"":""Action-Adventure""},{""genres"":""RPG""},{""genres"":""Action""},{""genres"":""Simulation""},{""genres"":""Gore""},{""genres"":""Atmospheric""},{""genres"":""Adventure""},{""genres"":""Satire""},{""genres"":""Indie""}]"
steam,Slime Rancher,"1 Aug, 2017",Monomi Park,Monomi Park,20.0,"Slime Rancher is the tale of Beatrix LeBeau, a plucky, young rancher who sets out for a life a thousand light years away from Earth on the ‘Far, Far Range’ where she tries her hand at making a living wrangling slimes.","[{""genres"":""Cute""},{""genres"":""Exploration""},{""genres"":""Adventure""},{""genres"":""Singleplayer""},{""genres"":""First-Person""},{""genres"":""Open World""},{""genres"":""Colorful""},{""genres"":""Funny""},{""genres"":""Sandbox""},{""genres"":""Simulation""},{""genres"":""Casual""},{""genres"":""Fantasy""},{""genres"":""Management""},{""genres"":""Indie""},{""genres"":""Great Soundtrack""},{""genres"":""Family Friendly""},{""genres"":""Early Access""},{""genres"":""Female Protagonist""},{""genres"":""Action""},{""genres"":""FPS""}]"
