platform,title,release_time,developer,publisher,price,description,genres
steam,Dragon Age? Inquisition,"18 Nov, 2014",BioWare,Electronic Arts,29.0,"Winner of over 130 Game of the Year awards, discover the definitive Dragon Age: Inquisition experience. The Game of the Year Edition includes the critically acclaimed game, all three official add-ons - Jaws of Hakkon, The Descent, and Trespasser - and more.","[{""genres"":""RPG""},{""genres"":""Open World""},{""genres"":""Fantasy""},{""genres"":""Singleplayer""},{""genres"":""Story Rich""},{""genres"":""Character Customization""},{""genres"":""Action""},{""genres"":""Choices Matter""},{""genres"":""Adventure""},{""genres"":""Strategy""},{""genres"":""Sexual Content""},{""genres"":""Female Protagonist""},{""genres"":""Third Person""},{""genres"":""Great Soundtrack""},{""genres"":""Dragons""},{""genres"":""Action RPG""},{""genres"":""Atmospheric""},{""genres"":""Nudity""},{""genres"":""Combat""},{""genres"":""CRPG""}]"
steam,Remnant: From the Ashes,"19 Aug, 2019",Gunfire Games,Perfect World Entertainment,56.0,"The world has been thrown into chaos by an ancient evil from another dimension. As one of the last remnants of humanity, you must set out alone or alongside up to two other survivors to face down hordes of deadly enemies to try to carve a foothold, rebuild, and retake what was lost.","[{""genres"":""Souls-like""},{""genres"":""Action""},{""genres"":""RPG""},{""genres"":""Adventure""},{""genres"":""Co-op""},{""genres"":""Third-Person Shooter""},{""genres"":""Multiplayer""},{""genres"":""Online Co-Op""},{""genres"":""Shooter""},{""genres"":""Post-apocalyptic""},{""genres"":""Survival""},{""genres"":""Difficult""},{""genres"":""Singleplayer""},{""genres"":""Lovecraftian""},{""genres"":""Violent""},{""genres"":""Dark Fantasy""},{""genres"":""Replay Value""},{""genres"":""Horror""},{""genres"":""Procedural Generation""},{""genres"":""Atmospheric""}]"
steam,Subnautica,"23 Jan, 2018",Unknown Worlds Entertainment,Unknown Worlds Entertainment,99.0,"Descend into the depths of an alien underwater world filled with wonder and peril. Craft equipment, pilot submarines and out-smart wildlife to explore lush coral reefs, volcanoes, cave systems, and more - all while trying to survive.","[{""genres"":""Open World Survival Craft""},{""genres"":""Survival""},{""genres"":""Open World""},{""genres"":""Exploration""},{""genres"":""Underwater""},{""genres"":""Crafting""},{""genres"":""Base Building""},{""genres"":""Horror""},{""genres"":""Singleplayer""},{""genres"":""Adventure""},{""genres"":""First-Person""},{""genres"":""Sci-fi""},{""genres"":""Sandbox""},{""genres"":""Aliens""},{""genres"":""Atmospheric""},{""genres"":""Survival Horror""},{""genres"":""Action""},{""genres"":""Early Access""},{""genres"":""Indie""},{""genres"":""Multiplayer""}]"
steam,Euro Truck Simulator 2,"18 Oct, 2012",SCS Software,SCS Software,24.0,"Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore, your endurance, skill and speed will all be pushed to their limits.","[{""genres"":""Simulation""},{""genres"":""Driving""},{""genres"":""Automobile Sim""},{""genres"":""Open World""},{""genres"":""Realistic""},{""genres"":""Relaxing""},{""genres"":""Singleplayer""},{""genres"":""Moddable""},{""genres"":""Exploration""},{""genres"":""First-Person""},{""genres"":""Economy""},{""genres"":""Atmospheric""},{""genres"":""Adventure""},{""genres"":""Indie""},{""genres"":""Management""},{""genres"":""Casual""},{""genres"":""TrackIR""},{""genres"":""Sandbox""},{""genres"":""Racing""},{""genres"":""RPG""}]"
steam,The Elder Scrolls? Online,"4 Apr, 2014",Zenimax Online Studios,Bethesda Softworks,27.0,"Join over 18 million players in the award-winning online multiplayer RPG and experience limitless adventure in a persistent Elder Scrolls world. Battle, craft, steal, or explore, and combine different types of equipment and abilities to create your own style of play. No game subscription required.","[{""genres"":""RPG""},{""genres"":""MMORPG""},{""genres"":""Open World""},{""genres"":""Massively Multiplayer""},{""genres"":""Multiplayer""},{""genres"":""Fantasy""},{""genres"":""Adventure""},{""genres"":""First-Person""},{""genres"":""Exploration""},{""genres"":""Story Rich""},{""genres"":""Third Person""},{""genres"":""Magic""},{""genres"":""Action""},{""genres"":""Co-op""},{""genres"":""Atmospheric""},{""genres"":""Great Soundtrack""},{""genres"":""Action RPG""},{""genres"":""Singleplayer""},{""genres"":""Sandbox""},{""genres"":""Character Customization""}]"
steam,Tainted Grail: Conquest,"27 May, 2021",Awaken Realms Digital,Awaken Realms Digital,63.0,"A unique, infinitely replayable, story-driven hybrid between a deck-building Roguelike and an RPG game. Explore the ever-changing maps, fight with deadly enemies, and learn what happened to the cursed island of Avalon.","[{""genres"":""Dark Fantasy""},{""genres"":""Deckbuilding""},{""genres"":""Story Rich""},{""genres"":""Card Game""},{""genres"":""Roguelike""},{""genres"":""RPG""},{""genres"":""Choices Matter""},{""genres"":""Base Building""},{""genres"":""Turn-Based""},{""genres"":""Singleplayer""},{""genres"":""Indie""},{""genres"":""CRPG""},{""genres"":""Board Game""},{""genres"":""Replay Value""},{""genres"":""Isometric""},{""genres"":""Roguelite""},{""genres"":""Card Battler""},{""genres"":""Turn-Based Combat""},{""genres"":""Action""},{""genres"":""Survival""}]"
steam,The Isle,"1 Dec, 2015",Afterthought LLC,Afterthought LLC,51.0,Experience fierce open world survival gameplay as you attempt to stay alive on an unforgiving island inhabited by dinosaurs! Hunt. Grow. Survive.,"[{""genres"":""Dinosaurs""},{""genres"":""Survival""},{""genres"":""Open World""},{""genres"":""Multiplayer""},{""genres"":""Simulation""},{""genres"":""Hunting""},{""genres"":""Massively Multiplayer""},{""genres"":""Adventure""},{""genres"":""Early Access""},{""genres"":""Realistic""},{""genres"":""Action""},{""genres"":""Third Person""},{""genres"":""Co-op""},{""genres"":""Sandbox""},{""genres"":""Indie""},{""genres"":""Walking Simulator""},{""genres"":""Strategy""},{""genres"":""Team-Based""},{""genres"":""RPG""},{""genres"":""Horror""}]"
steam,Don't Starve Together,"21 Apr, 2016",Klei Entertainment,Klei Entertainment,12.0,"Fight, Farm, Build and Explore Together in the standalone multiplayer expansion to the uncompromising wilderness survival game, Don't Starve.","[{""genres"":""Survival""},{""genres"":""Open World Survival Craft""},{""genres"":""Multiplayer""},{""genres"":""Co-op""},{""genres"":""Open World""},{""genres"":""Adventure""},{""genres"":""Crafting""},{""genres"":""Online Co-Op""},{""genres"":""Sandbox""},{""genres"":""Difficult""},{""genres"":""Indie""},{""genres"":""2D""},{""genres"":""Funny""},{""genres"":""Atmospheric""},{""genres"":""Survival Horror""},{""genres"":""Strategy""},{""genres"":""Singleplayer""},{""genres"":""Horror""},{""genres"":""Action""},{""genres"":""Simulation""}]"
steam,DRAGON QUEST? XI S: Echoes of an Elusive Age? - Definitive Edition,"4 Dec, 2020",Square Enix,Square Enix,184.0,"The Definitive Edition includes the critically acclaimed DRAGON QUEST XI, plus additional scenarios, orchestral soundtrack, 2D mode and more! Whether you are a longtime fan or a new adventurer, this is the ultimate DQXI experience.","[{""genres"":""JRPG""},{""genres"":""RPG""},{""genres"":""Turn-Based Combat""},{""genres"":""Party-Based RPG""},{""genres"":""Story Rich""},{""genres"":""Dragons""},{""genres"":""Funny""},{""genres"":""Adventure""},{""genres"":""3D""},{""genres"":""2D""},{""genres"":""Fantasy""},{""genres"":""Colorful""},{""genres"":""Singleplayer""},{""genres"":""Action""},{""genres"":""Third Person""},{""genres"":""Crafting""},{""genres"":""Character Customization""},{""genres"":""Anime""},{""genres"":""Open World""},{""genres"":""Cartoony""},{""genres"":""RPG""},{""genres"":""Action""},{""genres"":""Open World""},{""genres"":""Singleplayer""},{""genres"":""Adventure""},{""genres"":""Story Rich""},{""genres"":""Third Person""}]"
steam,MechWarrior 5: Mercenaries,"26 May, 2021",Piranha Games Inc.,null,90.0,The year is 3015. The battlefields are dominated by war machines known as BattleMechs. Level entire cities and decimate the enemy in your BattleMech. Follow a quest for glory and revenge. Manage an expanding mercenary company. Fight alongside your friends with a four-player PvE co-op.,"[{""genres"":""Mechs""},{""genres"":""Simulation""},{""genres"":""FPS""},{""genres"":""Action""},{""genres"":""Shooter""},{""genres"":""Vehicular Combat""},{""genres"":""First-Person""},{""genres"":""Co-op""},{""genres"":""Destruction""},{""genres"":""Moddable""},{""genres"":""3D""},{""genres"":""Combat""},{""genres"":""Online Co-Op""},{""genres"":""Singleplayer""},{""genres"":""Futuristic""},{""genres"":""Tutorial""},{""genres"":""Economy""},{""genres"":""Management""},{""genres"":""PvE""},{""genres"":""Resource Management""}]"
steam,Hunt: Showdown,"27 Aug, 2019",Crytek,Crytek,74.0,"Hunt: Showdown is a thrilling, high-stakes PvPvE first-person shooter. Take down nightmarish monsters, as you compete for the bounties that will bring you glory, gear, and gold in this unforgiving – and unforgettable - online multiplayer experience.","[{""genres"":""Multiplayer""},{""genres"":""Hunting""},{""genres"":""Online Co-Op""},{""genres"":""Horror""},{""genres"":""Shooter""},{""genres"":""FPS""},{""genres"":""Survival""},{""genres"":""PvP""},{""genres"":""Zombies""},{""genres"":""Western""},{""genres"":""Survival Horror""},{""genres"":""Action""},{""genres"":""Open World""},{""genres"":""Perma Death""},{""genres"":""First-Person""},{""genres"":""Team-Based""},{""genres"":""Violent""},{""genres"":""Gore""},{""genres"":""Battle Royale""},{""genres"":""Co-op""}]"
steam,Divinity: Original Sin 2 - Definitive Edition,"14 Sep, 2017",Larian Studios,Larian Studios,53.0,"The critically acclaimed RPG that raised the bar, from the creators of Baldur's Gate 3. Gather your party. Master deep, tactical combat. Venture as a party of up to four - but know that only one of you will have the chance to become a God.","[{""genres"":""Exploration""},{""genres"":""Tactical RPG""},{""genres"":""CRPG""},{""genres"":""PvP""},{""genres"":""Story Rich""},{""genres"":""Fantasy""},{""genres"":""Turn-Based Strategy""},{""genres"":""Strategy RPG""},{""genres"":""Party-Based RPG""},{""genres"":""RPG""},{""genres"":""Character Customization""},{""genres"":""Female Protagonist""},{""genres"":""Co-op Campaign""},{""genres"":""Local Co-Op""},{""genres"":""Romance""},{""genres"":""Funny""},{""genres"":""Moddable""},{""genres"":""Isometric""},{""genres"":""Strategy""},{""genres"":""3D""}]"
steam,EARTH DEFENSE FORCE: WORLD BROTHERS,"27 May, 2021",YUKE'S,null,239.0,"A new EDF adventure begins! Only this time, the action unfolds in a parallel world where the Earth is made of digital blocks. This world has befallen into chaos, as the once peaceful square Earth has been shattered into pieces. Shape aside, it is an Earth nonetheless which needs to be defended.","[{""genres"":""Action""},{""genres"":""Shooter""},{""genres"":""Third-Person Shooter""},{""genres"":""3D""},{""genres"":""Cute""},{""genres"":""Voxel""},{""genres"":""Sci-fi""},{""genres"":""Co-op""},{""genres"":""Online Co-Op""},{""genres"":""Multiplayer""},{""genres"":""Singleplayer""},{""genres"":""Aliens""}]"
steam,Control Ultimate Edition,"27 Aug, 2020",Remedy Entertainment,505 Games,79.0,"Winner of over 80 awards, Control is a visually stunning third-person action-adventure that will keep you on the edge of your seat.","[{""genres"":""Action""},{""genres"":""Adventure""},{""genres"":""Female Protagonist""},{""genres"":""Supernatural""},{""genres"":""Third Person""},{""genres"":""Sci-fi""},{""genres"":""Story Rich""},{""genres"":""Atmospheric""},{""genres"":""Horror""},{""genres"":""Third-Person Shooter""},{""genres"":""Singleplayer""},{""genres"":""Surreal""},{""genres"":""Psychological Horror""},{""genres"":""Metroidvania""},{""genres"":""Shooter""},{""genres"":""Open World""},{""genres"":""Violent""},{""genres"":""Epic""},{""genres"":""Difficult""},{""genres"":""Souls-like""}]"
steam,Conan Exiles,"8 May, 2018",Funcom,Funcom,38.0,"An online multiplayer survival game, now with mounts and mounted combat, set in the lands of Conan the Barbarian. Survive in a vast open world sandbox, build a home and kingdom, dominate your enemies in single or multiplayer.","[{""genres"":""Survival""},{""genres"":""Open World""},{""genres"":""Building""},{""genres"":""Nudity""},{""genres"":""Crafting""},{""genres"":""Open World Survival Craft""},{""genres"":""Multiplayer""},{""genres"":""RPG""},{""genres"":""Sandbox""},{""genres"":""Massively Multiplayer""},{""genres"":""Action""},{""genres"":""Adventure""},{""genres"":""Online Co-Op""},{""genres"":""Exploration""},{""genres"":""Violent""},{""genres"":""Singleplayer""},{""genres"":""Co-op""},{""genres"":""Fantasy""},{""genres"":""PvP""},{""genres"":""Gore""}]"
steam,Wallpaper Engine,"18 Nov, 2021",Wallpaper Engine Team,Wallpaper Engine Team,19.0,Use stunning live wallpapers on your desktop. Animate your own images to create new wallpapers or import videos/websites and share them on the Steam Workshop!,"[{""genres"":""Mature""},{""genres"":""Utilities""},{""genres"":""Software""},{""genres"":""Anime""},{""genres"":""Design & Illustration""},{""genres"":""Animation & Modeling""},{""genres"":""Casual""},{""genres"":""Memes""},{""genres"":""Indie""},{""genres"":""Early Access""},{""genres"":""Cute""},{""genres"":""Funny""},{""genres"":""Action""},{""genres"":""Singleplayer""},{""genres"":""Music""},{""genres"":""NSFW""},{""genres"":""Sandbox""},{""genres"":""Photo Editing""},{""genres"":""Game Development""},{""genres"":""Horror""}]"
steam,Days Gone,"17 May, 2021",Bend Studio,null,279.0,"Ride and fight into a deadly, post pandemic America. Play as Deacon St. John, a drifter and bounty hunter who rides the broken road, fighting to survive while searching for a reason to live in this open-world action-adventure game.","[{""genres"":""Open World""},{""genres"":""Post-apocalyptic""},{""genres"":""Zombies""},{""genres"":""Singleplayer""},{""genres"":""Action""},{""genres"":""Survival""},{""genres"":""Action-Adventure""},{""genres"":""Adventure""},{""genres"":""Third Person""},{""genres"":""Motorbike""},{""genres"":""Horror""},{""genres"":""Multiplayer""},{""genres"":""Survival Horror""},{""genres"":""Open World Survival Craft""},{""genres"":""Crafting""},{""genres"":""Cinematic""},{""genres"":""Third-Person Shooter""},{""genres"":""Gore""},{""genres"":""Violent""},{""genres"":""Story Rich""}]"
steam,ARK: Survival Evolved,"27 Aug, 2017",Studio Wildcard,Studio Wildcard,27.0,"Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape!","[{""genres"":""Open World Survival Craft""},{""genres"":""Survival""},{""genres"":""Open World""},{""genres"":""Multiplayer""},{""genres"":""Dinosaurs""},{""genres"":""Crafting""},{""genres"":""Building""},{""genres"":""Adventure""},{""genres"":""Base Building""},{""genres"":""Co-op""},{""genres"":""Action""},{""genres"":""First-Person""},{""genres"":""Sandbox""},{""genres"":""Massively Multiplayer""},{""genres"":""Singleplayer""},{""genres"":""Early Access""},{""genres"":""RPG""},{""genres"":""Dragons""},{""genres"":""Sci-fi""},{""genres"":""Indie""}]"
steam,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,"4 Feb, 2016",CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,38.0,The latest opus in the acclaimed STORM series is taking you on a colourful and breathtaking ride. Take advantage of the totally revamped battle system and prepare to dive into the most epic fights you’ve ever seen !,"[{""genres"":""Anime""},{""genres"":""Fighting""},{""genres"":""Action""},{""genres"":""Ninja""},{""genres"":""Multiplayer""},{""genres"":""Adventure""},{""genres"":""Story Rich""},{""genres"":""Singleplayer""},{""genres"":""Local Multiplayer""},{""genres"":""Third Person""},{""genres"":""Great Soundtrack""},{""genres"":""Fantasy""},{""genres"":""Open World""},{""genres"":""Atmospheric""},{""genres"":""Online Co-Op""},{""genres"":""Co-op""},{""genres"":""Beat 'em up""},{""genres"":""Local Co-Op""},{""genres"":""Memes""},{""genres"":""Heist""}]"
steam,Red Dead Redemption 2,"5 Dec, 2019",Rockstar Games,Rockstar Games,166.8,"Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, RDR2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. Also includes access to the shared living world of Red Dead Online.","[{""genres"":""Open World""},{""genres"":""Adventure""},{""genres"":""Story Rich""},{""genres"":""Western""},{""genres"":""Action""},{""genres"":""Multiplayer""},{""genres"":""Shooter""},{""genres"":""Realistic""},{""genres"":""Third-Person Shooter""},{""genres"":""Singleplayer""},{""genres"":""Atmospheric""},{""genres"":""Horses""},{""genres"":""Beautiful""},{""genres"":""Great Soundtrack""},{""genres"":""Third Person""},{""genres"":""Sandbox""},{""genres"":""Mature""},{""genres"":""First-Person""},{""genres"":""Gore""},{""genres"":""FPS""}]"
steam,PLAYERUNKNOWN'S BATTLEGROUNDS,"21 Dec, 2017","KRAFTON, Inc.","KRAFTON, Inc.",98.0,PLAYERUNKNOWN'S BATTLEGROUNDS is a battle royale shooter that pits 100 players against each other in a struggle for survival. Gather supplies and outwit your opponents to become the last person standing.,"[{""genres"":""Survival""},{""genres"":""Shooter""},{""genres"":""Multiplayer""},{""genres"":""Battle Royale""},{""genres"":""FPS""},{""genres"":""PvP""},{""genres"":""Third-Person Shooter""},{""genres"":""Action""},{""genres"":""Online Co-Op""},{""genres"":""Tactical""},{""genres"":""Co-op""},{""genres"":""First-Person""},{""genres"":""Strategy""},{""genres"":""Early Access""},{""genres"":""Competitive""},{""genres"":""Third Person""},{""genres"":""Team-Based""},{""genres"":""Difficult""},{""genres"":""Simulation""},{""genres"":""Stealth""}]"
steam,Baldur's Gate 3,"6 Oct, 2020",Larian Studios,Larian Studios,298.0,"Gather your party, and return to the Forgotten Realms in a tale of fellowship and betrayal, sacrifice and survival, and the lure of absolute power.","[{""genres"":""Early Access""},{""genres"":""RPG""},{""genres"":""Dungeons & Dragons""},{""genres"":""Choices Matter""},{""genres"":""Turn-Based""},{""genres"":""Story Rich""},{""genres"":""Character Customization""},{""genres"":""Party-Based RPG""},{""genres"":""CRPG""},{""genres"":""Co-op Campaign""},{""genres"":""Fantasy""},{""genres"":""Romance""},{""genres"":""Class-Based""},{""genres"":""Dark Fantasy""},{""genres"":""PvE""},{""genres"":""Narration""},{""genres"":""Stealth""},{""genres"":""Crafting""},{""genres"":""Combat""},{""genres"":""Dragons""}]"
steam,Arma 3,"12 Sep, 2013",Bohemia Interactive,Bohemia Interactive,29.0,"Experience true combat gameplay in a massive military sandbox. Deploying a wide variety of single- and multiplayer content, over 20 vehicles and 40 weapons, and limitless opportunities for content creation, this is the PC’s premier military game. Authentic, diverse, open - Arma 3 sends you to war.","[{""genres"":""Action""},{""genres"":""Multiplayer""},{""genres"":""Military""},{""genres"":""Simulation""},{""genres"":""Shooter""},{""genres"":""First-Person""},{""genres"":""Realistic""},{""genres"":""Open World""},{""genres"":""Tactical""},{""genres"":""FPS""},{""genres"":""War""},{""genres"":""Co-op""},{""genres"":""Strategy""},{""genres"":""Sandbox""},{""genres"":""Moddable""},{""genres"":""Combat""},{""genres"":""Online Co-Op""},{""genres"":""Singleplayer""},{""genres"":""Team-Based""},{""genres"":""Third-Person Shooter""}]"
steam,ARK: Genesis Season Pass,"8 Aug, 2019",Studio Wildcard,Snail Games USA,87.0,unknown,"[{""genres"":""Adventure""},{""genres"":""Massively Multiplayer""},{""genres"":""Action""},{""genres"":""RPG""},{""genres"":""Survival""},{""genres"":""Indie""},{""genres"":""Open World""},{""genres"":""Dinosaurs""},{""genres"":""Multiplayer""},{""genres"":""Violent""},{""genres"":""Base Building""},{""genres"":""Crafting""},{""genres"":""Singleplayer""},{""genres"":""Sandbox""},{""genres"":""Building""},{""genres"":""Sci-fi""},{""genres"":""Open World Survival Craft""},{""genres"":""Dragons""},{""genres"":""Co-op""}]"
steam,Outer Wilds,"18 Jun, 2020",Mobius Digital,Annapurna Interactive,48.0,"Named Game of the Year 2019 by Giant Bomb, Polygon, Eurogamer, and The Guardian, Outer Wilds is a critically-acclaimed and award-winning open world mystery about a solar system trapped in an endless time loop.","[{""genres"":""Exploration""},{""genres"":""Space""},{""genres"":""Mystery""},{""genres"":""Adventure""},{""genres"":""Story Rich""},{""genres"":""Puzzle""},{""genres"":""Atmospheric""},{""genres"":""Great Soundtrack""},{""genres"":""Singleplayer""},{""genres"":""Indie""},{""genres"":""Open World""},{""genres"":""Sci-fi""},{""genres"":""First-Person""},{""genres"":""Beautiful""},{""genres"":""Simulation""},{""genres"":""Action""},{""genres"":""Epic""},{""genres"":""Horror""},{""genres"":""3D""},{""genres"":""Psychological Horror""}]"
steam,Project Zomboid,"8 Nov, 2013",The Indie Stone,The Indie Stone,32.0,"Project Zomboid is the ultimate in zombie survival. Alone or in MP: you loot, build, craft, fight, farm and fish in a struggle to survive. A hardcore RPG skillset, a vast map, a massively customisable sandbox and a cute tutorial raccoon await the unwary. So how will you die? All it takes is a bite…","[{""genres"":""Survival""},{""genres"":""Zombies""},{""genres"":""Open World""},{""genres"":""Open World Survival Craft""},{""genres"":""Sandbox""},{""genres"":""Multiplayer""},{""genres"":""Post-apocalyptic""},{""genres"":""Indie""},{""genres"":""Crafting""},{""genres"":""Simulation""},{""genres"":""Co-op""},{""genres"":""RPG""},{""genres"":""Building""},{""genres"":""Survival Horror""},{""genres"":""Early Access""},{""genres"":""Isometric""},{""genres"":""Realistic""},{""genres"":""Singleplayer""},{""genres"":""2D""},{""genres"":""Adventure""}]"
steam,Squad,"23 Sep, 2020",Offworld Industries,Offworld Industries,111.0,"Squad is a tactical FPS that provides authentic combat experiences through teamwork, constant communication, and gameplay. It bridges the large gap between arcade shooter and military simulation with 100 player battles, combined arms combat, base building, and a great integrated VoIP system","[{""genres"":""Military""},{""genres"":""FPS""},{""genres"":""Realistic""},{""genres"":""Multiplayer""},{""genres"":""Tactical""},{""genres"":""Shooter""},{""genres"":""War""},{""genres"":""Team-Based""},{""genres"":""Action""},{""genres"":""First-Person""},{""genres"":""Strategy""},{""genres"":""Simulation""},{""genres"":""Open World""},{""genres"":""Early Access""},{""genres"":""Co-op""},{""genres"":""Massively Multiplayer""},{""genres"":""Atmospheric""},{""genres"":""Walking Simulator""},{""genres"":""Indie""},{""genres"":""Singleplayer""}]"
steam,Dying Light,"26 Jan, 2015",Techland,Techland Publishing,43.0,"First-person action survival game set in a post-apocalyptic open world overrun by flesh-hungry zombies. Roam a city devastated by a mysterious virus epidemic. Scavenge for supplies, craft weapons, and face hordes of the infected.","[{""genres"":""Zombies""},{""genres"":""Survival Horror""},{""genres"":""Horror""},{""genres"":""Online Co-Op""},{""genres"":""Open World""},{""genres"":""Parkour""},{""genres"":""First-Person""},{""genres"":""Open World Survival Craft""},{""genres"":""Survival""},{""genres"":""Action""},{""genres"":""FPS""},{""genres"":""Gore""},{""genres"":""PvP""},{""genres"":""PvE""},{""genres"":""Stealth""},{""genres"":""Post-apocalyptic""},{""genres"":""Story Rich""},{""genres"":""Hack and Slash""},{""genres"":""Action RPG""},{""genres"":""RPG""}]"
steam,Borderlands 3,"13 Mar, 2020",Gearbox Software,2K,65.0,"The original shooter-looter returns, packing bazillions of guns and a mayhem-fueled adventure! Blast through new worlds and enemies as one of four new Vault Hunters.","[{""genres"":""RPG""},{""genres"":""Action""},{""genres"":""FPS""},{""genres"":""Looter Shooter""},{""genres"":""Online Co-Op""},{""genres"":""Open World""},{""genres"":""Multiplayer""},{""genres"":""Shooter""},{""genres"":""Co-op""},{""genres"":""Loot""},{""genres"":""Co-op Campaign""},{""genres"":""Singleplayer""},{""genres"":""Gore""},{""genres"":""Violent""},{""genres"":""First-Person""},{""genres"":""Adventure""},{""genres"":""Nudity""},{""genres"":""Great Soundtrack""},{""genres"":""Epic""},{""genres"":""Comedy""}]"
steam,Knockout City?,"21 May, 2021",Velan Studios,null,118.0,"Team up and duke it out with rival Crews in Knockout City™, where EPIC DODGEBALL BATTLES settle the score in team-based multiplayer matches. Throw, catch, pass, dodge, and tackle your way to dodgeball dominance!","[{""genres"":""Multiplayer""},{""genres"":""Sports""},{""genres"":""Team-Based""},{""genres"":""Competitive""},{""genres"":""Action-Adventure""},{""genres"":""Third Person""},{""genres"":""Action""},{""genres"":""PvP""},{""genres"":""Physics""},{""genres"":""Indie""},{""genres"":""Fighting""},{""genres"":""Adventure""},{""genres"":""Fast-Paced""},{""genres"":""Roguelite""},{""genres"":""Free to Play""},{""genres"":""Action Roguelike""}]"
steam,Mount & Blade II: Bannerlord,"30 Mar, 2020",TaleWorlds Entertainment,TaleWorlds Entertainment,223.0,"The horns sound, the ravens gather. An empire is torn by civil war. Beyond its borders, new kingdoms rise. Gird on your sword, don your armour, summon your followers and ride forth to win glory on the battlefields of Calradia. Establish your hegemony and create a new world out of the ashes of the old.","[{""genres"":""Medieval""},{""genres"":""Strategy""},{""genres"":""Open World""},{""genres"":""RPG""},{""genres"":""War""},{""genres"":""Multiplayer""},{""genres"":""Sandbox""},{""genres"":""Action""},{""genres"":""Singleplayer""},{""genres"":""Simulation""},{""genres"":""Moddable""},{""genres"":""Character Customization""},{""genres"":""Adventure""},{""genres"":""Horses""},{""genres"":""Third Person""},{""genres"":""Realistic""},{""genres"":""First-Person""},{""genres"":""Historical""},{""genres"":""Great Soundtrack""},{""genres"":""Early Access""}]"
steam,DayZ,"13 Dec, 2018",Bohemia Interactive,Bohemia Interactive,119.0,"How long can you survive a post-apocalyptic world? A land overrun with an infected ""zombie"" population, where you compete with other survivors for limited resources. Will you team up with strangers and stay strong together? Or play as a lone wolf to avoid betrayal? This is DayZ – this is your story.","[{""genres"":""Survival""},{""genres"":""Zombies""},{""genres"":""Multiplayer""},{""genres"":""Open World""},{""genres"":""Action""},{""genres"":""PvP""},{""genres"":""Shooter""},{""genres"":""Massively Multiplayer""},{""genres"":""Horror""},{""genres"":""Simulation""},{""genres"":""Early Access""},{""genres"":""Post-apocalyptic""},{""genres"":""FPS""},{""genres"":""First-Person""},{""genres"":""Survival Horror""},{""genres"":""Sandbox""},{""genres"":""Adventure""},{""genres"":""Co-op""},{""genres"":""Indie""},{""genres"":""Atmospheric""}]"
steam,Horizon Zero Dawn? Complete Edition,"7 Aug, 2020",Guerrilla,"PlayStation Mobile, Inc.",279.0,Experience Aloy’s legendary quest to unravel the mysteries of a future Earth ruled by Machines. Use devastating tactical attacks against your prey and explore a majestic open world in this award-winning action RPG!,"[{""genres"":""Open World""},{""genres"":""Adventure""},{""genres"":""Female Protagonist""},{""genres"":""Action""},{""genres"":""RPG""},{""genres"":""Singleplayer""},{""genres"":""Story Rich""},{""genres"":""Post-apocalyptic""},{""genres"":""Robots""},{""genres"":""Sci-fi""},{""genres"":""Exploration""},{""genres"":""Third Person""},{""genres"":""Beautiful""},{""genres"":""Atmospheric""},{""genres"":""Great Soundtrack""},{""genres"":""Action RPG""},{""genres"":""Archery""},{""genres"":""Hunting""},{""genres"":""Dinosaurs""},{""genres"":""Stealth""}]"
steam,Disco Elysium - The Final Cut,"15 Oct, 2019",ZA/UM,ZA/UM,87.0,"Disco Elysium - The Final Cut is a groundbreaking role playing game. You’re a detective with a unique skill system at your disposal and a whole city to carve your path across. Interrogate unforgettable characters, crack murders or take bribes. Become a hero or an absolute disaster of a human being.","[{""genres"":""RPG""},{""genres"":""Story Rich""},{""genres"":""Choices Matter""},{""genres"":""Detective""},{""genres"":""Isometric""},{""genres"":""Atmospheric""},{""genres"":""CRPG""},{""genres"":""Singleplayer""},{""genres"":""Great Soundtrack""},{""genres"":""Noir""},{""genres"":""Character Customization""},{""genres"":""Open World""},{""genres"":""Surreal""},{""genres"":""Adventure""},{""genres"":""Indie""},{""genres"":""Exploration""},{""genres"":""Funny""},{""genres"":""Point & Click""},{""genres"":""Sexual Content""},{""genres"":""Fantasy""}]"
